time,theta_b,dtheta_b,dtheta_w
1739.19,-7.52,-2.36,-17.15,-1.00
1744.27,-7.53,-2.78,-22.38,-1.00
1749.35,-7.55,-3.37,-28.94,-1.00
1754.42,-7.59,-4.72,-21.79,-1.00
1759.50,-7.61,-4.13,-16.71,-1.00
1764.57,-7.63,-4.29,-23.31,-1.00
1769.65,-7.66,-4.23,-12.80,-1.00
1774.74,-7.68,-3.94,-16.51,-1.00
1779.82,-7.69,-4.09,-22.76,-1.00
1784.90,-7.71,-3.46,-24.15,-1.00
1789.97,-7.73,-2.78,-12.79,-1.00
1795.05,-7.74,-2.44,-17.56,-1.00
1800.12,-7.75,-1.99,-3.64,-1.00
1805.20,-7.76,-1.69,10.55,-1.00
1810.27,-7.76,-0.81,-17.01,-1.00
1815.35,-7.76,-0.50,-16.54,-1.00
1820.43,-7.76,-0.29,-2.78,-1.00
1825.50,-7.77,-0.33,-8.32,-1.00
1830.53,-7.77,-0.30,-24.30,-1.00
1835.57,-7.77,-0.43,-10.09,-1.00
1840.65,-7.77,-0.65,-14.71,-1.00
1845.73,-7.78,-1.29,-21.73,-1.00
1850.80,-7.79,-1.67,-14.83,-1.00
1855.85,-7.80,-2.58,-3.27,-1.00
1860.93,-7.82,-3.20,-23.28,-1.00
1866.01,-7.84,-3.81,-4.34,-1.00
1871.06,-7.86,-4.55,-30.15,-1.00
1876.09,-7.89,-5.18,-10.23,-1.00
1881.17,-7.92,-6.43,-16.55,-1.00
1886.19,-7.95,-5.96,-29.49,-1.00
1891.27,-7.98,-6.06,-18.06,-1.00
1896.30,-8.01,-6.16,-18.11,-1.00
1901.35,-8.04,-6.09,-22.35,-1.00
1906.43,-8.07,-6.29,-19.30,-1.00
1911.51,-8.09,-4.76,-6.78,-1.00
1916.59,-8.12,-4.53,-20.39,-1.00
1921.66,-8.14,-3.86,-15.47,-1.00
1926.74,-8.15,-3.22,-16.96,-1.00
1931.82,-8.17,-2.94,-24.40,-1.00
1936.89,-8.18,-2.32,-21.44,-1.00
1941.97,-8.19,-2.01,-28.11,-1.00
1947.04,-8.20,-1.97,-19.77,-1.00
1952.12,-8.21,-2.02,-2.22,-1.00
1957.19,-8.22,-2.33,-9.61,-1.00
1962.23,-8.23,-2.68,-10.17,-1.00
1967.31,-8.25,-3.27,-13.08,-1.00
1972.39,-8.26,-3.18,-6.81,-1.00
1977.46,-8.28,-2.94,-16.45,-1.00
1982.54,-8.30,-3.27,-24.24,-1.00
1987.61,-8.31,-3.40,-3.14,-1.00
1992.69,-8.33,-2.81,-18.78,-1.00
1997.76,-8.34,-2.68,-11.66,-1.00
2002.84,-8.35,-2.48,-7.43,-1.00
2007.91,-8.37,-2.44,-15.52,-1.00
2012.99,-8.38,-1.92,-20.90,-1.00
2018.06,-8.39,-2.85,-14.84,-1.00
2023.14,-8.40,-2.14,-8.31,-1.00
2028.22,-8.41,-2.35,-17.11,-1.00
2033.29,-8.42,-2.38,-14.17,-1.00
2038.37,-8.43,-2.26,-9.09,-1.00
2043.44,-8.45,-2.74,-21.59,-1.00
2048.52,-8.46,-2.33,-15.62,-1.00
2053.59,-8.47,-2.92,-23.06,-1.00
2058.67,-8.49,-3.10,-25.99,-1.00
2063.75,-8.51,-3.16,-16.70,-1.00
2068.82,-8.53,-3.94,-3.10,-1.00
2073.90,-8.55,-4.82,-23.57,-1.00
2078.97,-8.57,-4.94,-19.55,-1.00
2084.01,-8.60,-4.85,-23.43,-1.00
2089.09,-8.63,-6.30,-8.80,-1.00
2094.14,-8.66,-5.97,-19.09,-1.00
2099.22,-8.69,-6.13,-25.45,-1.00
