time,theta_b,dtheta_b,dtheta_w
564.06,0.12,-1.38,-168.75,0.00
565.20,0.11,-1.03,-168.75,0.00
566.34,0.11,-1.03,-168.75,0.00
567.47,0.11,-1.03,-168.75,0.00
568.60,0.11,-1.03,-168.75,0.00
569.74,0.11,-1.03,-168.75,0.00
570.87,0.11,-0.84,-168.75,0.00
572.01,0.11,-0.84,-170.62,0.00
573.14,0.11,-0.84,-170.62,0.00
574.29,0.11,-0.84,-170.62,0.00
575.45,0.11,-0.89,-170.62,0.00
576.61,0.11,-0.89,-166.87,0.00
577.74,0.11,-0.89,-166.87,0.00
578.87,0.11,-0.89,-166.87,0.00
580.01,0.10,-0.87,-168.75,0.00
581.15,0.10,-0.87,-168.75,0.00
582.28,0.10,-0.87,-168.75,0.00
583.41,0.10,-0.87,-168.75,0.00
584.55,0.10,-0.87,-168.75,0.00
585.68,0.10,-0.89,-168.75,0.00
586.82,0.10,-0.89,-168.75,0.00
587.95,0.10,-0.89,-168.75,0.00
589.08,0.10,-0.89,-168.75,0.00
590.24,0.09,-0.93,-168.75,0.00
591.40,0.09,-0.93,-168.75,0.00
592.53,0.09,-0.93,-168.75,0.00
593.66,0.09,-0.93,-168.75,0.00
594.80,0.09,-0.73,-168.75,0.00
595.93,0.09,-0.73,-168.75,0.00
597.07,0.09,-0.73,-170.62,0.00
598.20,0.09,-0.73,-170.62,0.00
599.38,0.09,-0.73,-170.62,0.00
600.56,0.08,-0.80,-168.75,0.00
601.70,0.08,-0.80,-168.75,0.00
602.83,0.08,-0.80,-168.75,0.00
603.96,0.08,-0.80,-168.75,0.00
605.09,0.08,-0.70,-168.75,0.00
606.23,0.08,-0.70,-168.75,0.00
607.40,0.08,-0.70,-168.75,0.00
608.53,0.08,-0.70,-170.62,0.00
609.69,0.08,-0.70,-170.62,0.00
610.85,0.08,-0.56,-170.62,0.00
611.98,0.08,-0.56,-170.62,0.00
613.12,0.08,-0.56,-170.62,0.00
614.25,0.08,-0.56,-170.62,0.00
615.39,0.07,-0.90,-170.62,0.00
616.52,0.07,-0.90,-172.50,0.00
617.66,0.07,-0.90,-172.50,0.00
618.79,0.07,-0.90,-172.50,0.00
619.92,0.07,-0.66,-172.50,0.00
621.06,0.07,-0.66,-168.75,0.00
622.20,0.07,-0.66,-168.75,0.00
623.33,0.07,-0.66,-168.75,0.00
624.47,0.07,-0.66,-170.62,0.00
625.63,0.07,-0.62,-170.62,0.00
626.77,0.07,-0.62,-170.62,0.00
627.90,0.07,-0.62,-170.62,0.00
629.03,0.07,-0.62,-170.62,0.00
630.17,0.06,-0.87,-170.62,0.00
631.34,0.06,-0.87,-170.62,0.00
632.47,0.06,-0.87,-170.62,0.00
633.61,0.06,-0.87,-170.62,0.00
634.74,0.06,-0.87,-170.62,0.00
635.88,0.06,-0.82,-170.62,0.00
637.01,0.06,-0.82,-170.62,0.00
638.15,0.06,-0.82,-170.62,0.00
639.28,0.06,-0.82,-170.62,0.00
640.44,0.06,-0.93,-168.75,0.00
641.60,0.06,-0.93,-168.75,0.00
642.73,0.06,-0.93,-168.75,0.00
643.86,0.06,-0.93,-168.75,0.00
645.00,0.05,-1.01,-170.62,0.00
646.13,0.05,-1.01,-170.62,0.00
647.27,0.05,-1.01,-170.62,0.00
648.40,0.05,-1.01,-170.62,0.00
649.58,0.04,-1.02,-170.62,0.00
650.77,0.04,-1.02,-170.62,0.00
651.91,0.04,-1.02,-170.62,0.00
653.04,0.04,-1.02,-170.62,0.00
654.17,0.04,-1.02,-170.62,0.00
655.31,0.04,-0.86,-170.62,0.00
656.44,0.04,-0.86,-170.62,0.00
657.57,0.04,-0.86,-170.62,0.00
658.71,0.04,-0.86,-170.62,0.00
659.86,0.04,-0.87,-170.62,0.00
661.00,0.04,-0.87,-170.62,0.00
662.14,0.04,-0.87,-170.62,0.00
663.27,0.04,-0.87,-170.62,0.00
664.41,0.04,-0.87,-170.62,0.00
665.58,0.03,-0.95,-170.62,0.00
666.72,0.03,-0.95,-170.62,0.00
667.85,0.03,-0.95,-170.62,0.00
668.98,0.03,-0.95,-170.62,0.00
670.11,0.03,-1.07,-170.62,0.00
671.25,0.03,-1.07,-170.62,0.00
672.39,0.03,-1.07,-170.62,0.00
673.52,0.03,-1.07,-170.62,0.00
674.68,0.03,-1.07,-170.62,0.00
675.81,0.02,-0.81,-170.62,0.00
676.95,0.02,-0.81,-170.62,0.00
678.08,0.02,-0.81,-172.50,0.00
679.22,0.02,-0.81,-172.50,0.00
680.39,0.02,-0.99,-172.50,0.00
681.53,0.02,-0.99,-168.75,0.00
682.66,0.02,-0.99,-168.75,0.00
683.79,0.02,-0.99,-168.75,0.00
684.93,0.01,-0.86,-168.75,0.00
686.06,0.01,-0.86,-168.75,0.00
687.20,0.01,-0.86,-168.75,0.00
688.33,0.01,-0.86,-168.75,0.00
689.49,0.01,-0.86,-168.75,0.00
690.67,0.01,-0.69,-170.62,0.00
691.80,0.01,-0.69,-170.62,0.00
692.93,0.01,-0.69,-170.62,0.00
694.07,0.01,-0.69,-168.75,0.00
695.20,0.01,-0.86,-168.75,0.00
696.36,0.01,-0.86,-168.75,0.00
